sample_id,source_name,included,reason,source_strength,source_strength_unit
22182,EXP_FLEX_19_a_spec_53,True,included,9.706834482450839,N/mm²
22183,EXP_FLEX_19_a_spec_54,False,missing_nonfinite_or_negative_strength,,N/mm²
22184,EXP_FLEX_19_a_spec_55,True,included,12.721808123190918,N/mm²
22185,EXP_FLEX_19_a_spec_56,True,included,17.26743393222317,N/mm²
22186,EXP_FLEX_19_a_spec_57,True,included,12.925171750567456,N/mm²
22187,EXP_FLEX_19_a_spec_58,True,included,16.50650268647029,N/mm²
22188,EXP_FLEX_19_a_spec_59,True,included,10.494228704157171,N/mm²
22126,EXP_FLEX_19_a_spec_6,False,outside_20_to_40_days,7.718581435197493,N/mm²
22189,EXP_FLEX_19_a_spec_60,True,included,9.497457508042139,N/mm²
22190,EXP_FLEX_19_a_spec_61,True,included,16.01433308634945,N/mm²
22191,EXP_FLEX_19_a_spec_62,True,included,17.715064429767093,N/mm²
22192,EXP_FLEX_19_a_spec_63,True,included,16.416001773838858,N/mm²
22193,EXP_FLEX_19_a_spec_64,True,included,14.020982907598096,N/mm²
22194,EXP_FLEX_19_a_spec_65,True,included,14.523167418769805,N/mm²
22195,EXP_FLEX_19_a_spec_66,True,included,15.708038111821416,N/mm²
22196,EXP_FLEX_19_a_spec_67,True,included,15.221603378839413,N/mm²
22197,EXP_FLEX_19_a_spec_68,True,included,15.077662833947542,N/mm²
22198,EXP_FLEX_19_a_spec_69,True,included,15.401657072150876,N/mm²
22199,EXP_FLEX_19_a_spec_70,True,included,16.000209507181083,N/mm²
22200,EXP_FLEX_19_a_spec_71,True,included,13.462860752044207,N/mm²
22201,EXP_FLEX_19_a_spec_72,True,included,10.274109240318566,N/mm²
22202,EXP_FLEX_19_a_spec_73,True,included,14.270315754321935,N/mm²
22203,EXP_FLEX_19_a_spec_74,True,included,12.449486806773393,N/mm²
22204,EXP_FLEX_19_a_spec_75,True,included,17.82151576867241,N/mm²
22205,EXP_FLEX_19_a_spec_76,True,included,15.820660547700918,N/mm²
22206,EXP_FLEX_19_a_spec_77,False,unrecognized_strength_unit,16.15803406095022,
22207,EXP_FLEX_19_a_spec_78,False,unrecognized_strength_unit,16.119922457954583,
22214,EXP_FLEX_19_a_spec_79,True,included,4.288822576932332,N/mm²
22127,EXP_FLEX_19_a_spec_8,False,outside_20_to_40_days,5.249741307281558,N/mm²
22215,EXP_FLEX_19_a_spec_80,True,included,4.69886872948716,N/mm²
22216,EXP_FLEX_19_a_spec_81,True,included,4.410433317178242,N/mm²
22217,EXP_FLEX_19_a_spec_82,True,included,5.3623115091422235,N/mm²
22218,EXP_FLEX_19_a_spec_83,True,included,4.707846797166848,N/mm²
22219,EXP_FLEX_19_a_spec_84,True,included,4.872478985379429,N/mm²
22154,EXP_FLEX_19_a_spec_85,False,outside_20_to_40_days,12.107935563507192,N/mm²
22155,EXP_FLEX_19_a_spec_86,False,outside_20_to_40_days,12.581667647250296,N/mm²
22156,EXP_FLEX_19_a_spec_87,False,outside_20_to_40_days,12.883167237177043,N/mm²
22157,EXP_FLEX_19_a_spec_88,False,outside_20_to_40_days,11.684254332708328,N/mm²
22158,EXP_FLEX_19_a_spec_89,False,outside_20_to_40_days,12.392345085393407,N/mm²
22128,EXP_FLEX_19_a_spec_9,False,outside_20_to_40_days,7.8251104410244405,N/mm²
22159,EXP_FLEX_19_a_spec_90,False,outside_20_to_40_days,11.725288724807193,N/mm²
22220,EXP_FLEX_19_a_spec_91,True,included,8.443691174263977,N/mm²
22221,EXP_FLEX_19_a_spec_92,True,included,9.703464175052472,N/mm²
22222,EXP_FLEX_19_a_spec_93,True,included,8.635251657501655,N/mm²
22223,EXP_FLEX_19_a_spec_94,True,included,7.782070976043353,N/mm²
